PersonDOB,PersonAge,NumFollowers,,
9/26/1966,55,175090,,
11/12/1956,64,389023,,
10/20/2002,18,9744,,
5/11/2000,21,304337,,
5/27/1972,49,99862,,
8/13/1990,31,174217,,
8/1/2001,20,601180,,
3/31/2003,18,847645,,
2/4/1970,51,129397,,
5/13/2010,11,96477,,
4/5/2007,14,226841,,
2/4/2012,9,249775,,
8/26/1982,39,822612,,
3/9/1963,58,343369,,
4/1/1985,36,229583,,
9/15/2013,8,967488,,
9/4/2009,12,586218,,
7/11/1960,61,919302,,
2/24/1991,30,319110,,
2/6/2002,19,595879,,
1/13/1976,45,851518,,
9/15/2011,10,45291,,
8/31/1975,46,904124,,
5/1/2002,19,106495,,
7/6/1990,31,510481,,
12/5/1977,43,419385,,
4/2/1959,62,205935,,
1/27/1985,36,963979,,
8/1/1994,27,389771,,
9/15/1986,35,798281,,
8/4/1967,54,861061,,
7/3/2011,10,383491,,
1/16/2007,14,634802,,
12/6/2002,18,767167,,
7/20/1957,64,502789,,
9/7/1975,46,722319,,
6/17/1975,46,638091,,
5/30/1965,56,343497,,
7/10/1986,35,763122,,
1/21/1980,41,528629,,
4/1/1971,50,975764,,
4/5/1994,27,409847,,
4/22/1964,57,41975,,
11/3/1993,27,618839,,
3/5/1988,33,764136,,
12/14/2009,11,260168,,
7/22/1990,31,228222,,
7/21/1967,54,597017,,
8/10/1983,38,764192,,
5/31/1987,34,276104,,
4/17/2002,19,585504,,
7/14/1971,50,173282,,
2/15/1981,40,754318,,
8/5/1978,43,313689,,
1/15/1961,60,247929,,
11/1/1967,53,364485,,
12/15/2003,17,183760,,
2/27/1960,61,670788,,
12/14/1999,21,94492,,
1/1/1974,47,424295,,
5/23/2004,17,198820,,
8/17/1971,50,177218,,
10/15/1993,27,540601,,
12/29/2007,13,55644,,
10/9/2011,9,712325,,
1/27/1978,43,787505,,
2/23/1976,45,988019,,
6/20/1979,42,543467,,
2/24/1968,53,925430,,
6/6/1994,27,477795,,
8/21/1999,22,526837,,
4/5/2001,20,714100,,
6/8/1972,49,283427,,
5/12/1970,51,229387,,
8/1/1961,60,810710,,
10/29/2010,10,928281,,
11/25/2011,9,679115,,
12/5/2006,14,348446,,
1/14/1962,59,773576,,
10/30/2007,13,689464,,
2/4/1966,55,902525,,
5/20/1980,41,329226,,
6/7/2000,21,566220,,
6/14/1978,43,944252,,
7/30/1990,31,303448,,
12/5/1979,41,583916,,
5/18/1977,44,224868,,
7/29/1972,49,645542,,
3/27/1972,49,655425,,
6/25/1957,64,209459,,
8/26/2000,21,83221,,
12/4/2011,9,887533,,
7/27/2003,18,142182,,
1/9/1964,57,48337,,
11/15/2010,10,363174,,
12/17/2000,20,219383,,
9/27/1972,48,338772,,
1/13/1997,24,707419,,
10/24/1994,26,111514,,
11/1/1971,49,514436,,
5/22/2013,8,670961,,
3/18/1977,44,163658,,
7/28/1972,49,761929,,
3/19/2010,11,839699,,
1/29/2005,16,257925,,
9/10/1967,54,947908,,
12/2/1977,43,596301,,
4/9/1963,58,473744,,
5/5/1986,35,836565,,
8/24/1957,64,713042,,
1/17/1956,65,900433,,
12/11/1974,46,202174,,
6/16/1959,62,712334,,
5/25/1984,37,96008,,
11/15/1955,65,373460,,
10/5/1997,23,617979,,
7/12/1964,57,328459,,
2/13/1984,37,677796,,
3/3/1993,28,60254,,
6/26/1987,34,465737,,
11/14/2014,6,257648,,
4/21/1957,64,156256,,
12/4/1958,62,962401,,
10/29/2009,11,34224,,
2/27/2012,9,542954,,
1/21/1995,26,164919,,
6/28/1999,22,419770,,
10/26/2006,14,228994,,
2/23/1992,29,510967,,
9/17/1956,65,628885,,
1/1/2007,14,373658,,
11/20/1981,39,153897,,
6/5/2000,21,549110,,
12/24/1974,46,143804,,
6/7/1965,56,631128,,
5/31/2013,8,120226,,
6/3/2014,7,648274,,
2/26/2001,20,945591,,
3/15/1993,28,825748,,
11/18/1970,50,347994,,
9/27/2012,8,943258,,
8/29/1977,44,760630,,
5/9/1965,56,912502,,
10/21/1970,50,96333,,
3/20/2010,11,461273,,
6/18/1975,46,19662,,
1/21/2009,12,338921,,
2/1/1973,48,878193,,
1/12/1992,29,659823,,
5/22/1968,53,139956,,
2/7/1977,44,963629,,
5/6/1990,31,926839,,
5/11/1980,41,138989,,
3/1/1981,40,789973,,
7/10/2010,11,919858,,
5/27/1984,37,278899,,
2/19/1986,35,740181,,
4/19/2003,18,857393,,
4/1/1996,25,153008,,
2/6/2011,10,112432,,
8/7/1957,64,754358,,
3/23/1970,51,955187,,
6/19/1997,24,869435,,
8/30/1969,52,688463,,
12/5/1974,46,318006,,
10/19/2002,18,190788,,
8/8/1981,40,843546,,
5/12/1961,60,198713,,
3/9/2005,16,919425,,
1/18/1993,28,685667,,
2/24/1994,27,552124,,
3/23/1977,44,601946,,
3/20/1990,31,240369,,
6/4/1995,26,162699,,
8/1/1968,53,648521,,
8/2/1986,35,753617,,
4/19/1986,35,914735,,
7/19/1964,57,298466,,
7/13/1992,29,67423,,
11/8/1958,62,93730,,
11/23/1989,31,802956,,
7/24/1963,58,8027,,
7/7/2007,14,801985,,
10/14/1983,37,190192,,
4/28/1976,45,617401,,
2/15/1999,22,740273,,
1/11/1959,62,941909,,
9/2/1970,51,4881,,
6/17/1977,44,443546,,
8/25/1990,31,459603,,
3/14/1981,40,27296,,
11/5/1993,27,134417,,
9/8/2008,13,291997,,
4/3/2000,21,753320,,
5/29/2015,6,580712,,
5/2/2001,20,655085,,
5/20/1981,40,920104,,
1/17/1969,52,624804,,
11/12/2000,20,513442,,
4/13/1957,64,415636,,
6/7/1973,48,405574,,
2/14/1967,54,618821,,
6/18/1992,29,245738,,
10/23/1959,61,624760,,
5/19/1989,32,902079,,
7/10/2004,17,36822,,
3/15/1959,62,631506,,
7/18/1958,63,294670,,
8/27/1967,54,828200,,
11/7/1972,48,408438,,
10/22/1996,24,476353,,
5/16/1983,38,180801,,
6/22/1964,57,630040,,
12/7/2007,13,108582,,
12/12/1961,59,183470,,
10/14/1970,50,546616,,
7/19/1959,62,208677,,
10/29/2010,10,465689,,
7/28/1983,38,703632,,
6/17/2002,19,400271,,
10/29/1989,31,279135,,
7/19/1960,61,76862,,
5/16/1990,31,980759,,
4/23/2000,21,780944,,
6/6/1972,49,997308,,
11/7/1971,49,493244,,
4/16/2010,11,886713,,
3/21/2010,11,718341,,
11/28/2007,13,497578,,
2/12/1956,65,14468,,
6/17/2002,19,497382,,
5/22/1983,38,490875,,
6/13/2002,19,590964,,
3/13/1975,46,239783,,
7/23/1983,38,175216,,
10/13/1996,24,231426,,
9/7/2006,15,188728,,
5/31/2014,7,629036,,
11/3/1978,42,352017,,
6/23/1962,59,227513,,
5/12/1956,65,588380,,
10/15/1965,55,639543,,
12/13/2009,11,11438,,
1/9/1972,49,203966,,
7/8/1977,44,302326,,
7/4/1969,52,627655,,
8/15/1990,31,411299,,
5/18/1998,23,204972,,
6/2/1984,37,366374,,
7/19/2013,8,684076,,
5/25/2011,10,429122,,
1/13/1967,54,779934,,
2/5/1958,63,830111,,
9/1/1986,35,828727,,
7/14/2000,21,196327,,
4/24/1979,42,44172,,
1/2/2000,21,540890,,
11/26/1964,56,936863,,
8/4/1965,56,540806,,
6/4/2013,8,509120,,
6/4/2010,11,657383,,
7/10/1997,24,277290,,
12/18/2013,7,773166,,
4/21/2011,10,265893,,
7/8/1997,24,591499,,
5/31/1969,52,628246,,
11/4/2007,13,929645,,
10/12/1977,43,920916,,
1/3/1957,64,542775,,
